summary_path,summary_mtime,family,config_id,seed,budget_per_class,class_id,real_only_precision,real_plus_synth_precision,delta_precision,real_only_recall,real_plus_synth_recall,delta_recall,real_only_f1,real_plus_synth_f1,delta_f1,support
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260524_120534.json,1779643250.993149,GAN,paper3_gan_aug_minority_heavy_c4c7_b2000,44,2000,4,0.6985815602836879,0.7935702199661591,0.09498865968247117,0.8853932584269663,0.5269662921348315,-0.3584269662921348,0.7809712586719524,0.6333558406482107,-0.14761541802374167,890
/home/bruno.fonkeng/gencys/artifacts_paper3/gan/summaries/summary_20260524_120534.json,1779643250.993149,GAN,paper3_gan_aug_minority_heavy_c4c7_b2000,44,2000,7,0.8593272171253823,0.6872427983539094,-0.17208441877147285,0.6189427312775331,0.73568281938326,0.11674008810572689,0.7195902688860435,0.7106382978723405,-0.008951971013703042,908
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_122109.json,1779644155.410421,VAE,paper3_vae_aug_minority_heavy_c4c7_b100,42,100,4,0.7847938144329897,0.7883522727272727,0.003558458294283029,0.6842696629213483,0.6235955056179775,-0.06067415730337078,0.7310924369747899,0.6963613550815558,-0.03473108189323404,890
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_122109.json,1779644155.410421,VAE,paper3_vae_aug_minority_heavy_c4c7_b100,42,100,7,0.732912723449001,0.719017094017094,-0.01389562943190703,0.7676211453744494,0.7411894273127754,-0.026431718061673992,0.7498655190962883,0.7299349240780911,-0.01993059501819716,908
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_130708.json,1779646918.52844,VAE,paper3_vae_aug_minority_heavy_c4c7_b100,43,100,4,0.6969407265774379,0.6648301193755739,-0.03211060720186398,0.8191011235955056,0.8134831460674158,-0.00561797752808979,0.753099173553719,0.7316826680141486,-0.02141650553957042,890
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_130708.json,1779646918.52844,VAE,paper3_vae_aug_minority_heavy_c4c7_b100,43,100,7,0.7983870967741935,0.8016393442622951,0.0032522474881016006,0.6541850220264317,0.538546255506608,-0.11563876651982374,0.7191283292978208,0.6442687747035574,-0.07485955459426341,908
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_135322.json,1779649697.929482,VAE,paper3_vae_aug_minority_heavy_c4c7_b100,44,100,4,0.6821305841924399,0.7366412213740458,0.05451063718160587,0.8921348314606742,0.650561797752809,-0.2415730337078652,0.7731256085686465,0.6909307875894988,-0.08219482097914776,890
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_135322.json,1779649697.929482,VAE,paper3_vae_aug_minority_heavy_c4c7_b100,44,100,7,0.8543247344461306,0.7486842105263158,-0.10564052391981471,0.6200440528634361,0.6266519823788547,0.0066079295154185536,0.7185705169112955,0.6822541966426858,-0.03631632026860965,908
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_123613.json,1779645074.643175,VAE,paper3_vae_aug_minority_heavy_c4c7_b500,42,500,4,0.7955801104972375,0.720620842572062,-0.07495926792517549,0.647191011235955,0.7303370786516854,0.08314606741573038,0.7137546468401487,0.7254464285714286,0.011691781731279938,890
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_123613.json,1779645074.643175,VAE,paper3_vae_aug_minority_heavy_c4c7_b500,42,500,7,0.7107355864811133,0.7392857142857143,0.028550127804600978,0.7874449339207048,0.683920704845815,-0.10352422907488978,0.7471264367816092,0.7105263157894737,-0.0366001209921355,908
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_132216.json,1779647846.402652,VAE,paper3_vae_aug_minority_heavy_c4c7_b500,43,500,4,0.7092050209205021,0.7476415094339622,0.038436488513460154,0.7617977528089888,0.7123595505617978,-0.04943820224719098,0.7345612134344529,0.7295742232451093,-0.004986990189343565,890
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_132216.json,1779647846.402652,VAE,paper3_vae_aug_minority_heavy_c4c7_b500,43,500,7,0.7567886658795749,0.7736093143596378,0.016820648480062816,0.7059471365638766,0.6585903083700441,-0.04735682819383258,0.7304843304843305,0.711481261154075,-0.01900306933025553,908
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_140836.json,1779650618.510317,VAE,paper3_vae_aug_minority_heavy_c4c7_b500,44,500,4,0.7061611374407583,0.7650834403080873,0.058922302867329024,0.8370786516853933,0.6696629213483146,-0.16741573033707868,0.7660668380462725,0.7142001198322349,-0.051866718214037655,890
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_140836.json,1779650618.510317,VAE,paper3_vae_aug_minority_heavy_c4c7_b500,44,500,7,0.8136300417246175,0.7402745995423341,-0.0733554421822834,0.6442731277533039,0.7125550660792952,0.06828193832599128,0.7191149354640443,0.7261503928170595,0.007035457353015251,908
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_125141.json,1779646010.559297,VAE,paper3_vae_aug_minority_heavy_c4c7_b2000,42,2000,4,0.7691309987029832,0.6966604823747681,-0.0724705163282151,0.6662921348314607,0.8438202247191011,0.17752808988764046,0.7140276941601444,0.7632113821138211,0.04918368795367667,890
/home/bruno.fonkeng/gencys/artifacts_paper3/vae/summaries/summary_20260524_125141.json,1779646010.559297,VAE,paper3_vae_aug_minority_heavy_c4c7_b2000,42,2000,7,0.7192066805845512,0.827123695976155,0.10791701539160381,0.7588105726872246,0.6112334801762115,-0.14757709251101314,0.7384780278670954,0.7029765674477517,-0.035501460419343656,908
